id,category,kind,observation,file,width,height,source_files,flags
img-0038,palestine,artwork-or-artwork-documentation,Palestinian flag wheat field and medical bag,media-library/curated/palestine/img-0038.jpg,6265,3989,media-library/curated/palestine/img-0038.jpg,exact-duplicate-source-files-consolidated
img-0039,palestine,artwork-or-artwork-documentation,Palestinian flag and flowers over chair,media-library/curated/palestine/img-0039.jpg,6149,4065,media-library/curated/palestine/img-0039.jpg,exact-duplicate-source-files-consolidated
img-0066,palestine,artwork-or-artwork-documentation,Mourning mother and child over Palestinian flag,media-library/curated/palestine/img-0066.jpg,1080,701,media-library/curated/palestine/img-0066.jpg,
img-0089,palestine,publication-cover,Making Death and Life in Palestine book cover; preserve publisher and editor credits,media-library/curated/palestine/img-0089.jpg,421,642,media-library/curated/palestine/img-0089.jpg,small-source-review-display-size
img-0111,palestine,artwork-or-artwork-documentation,Palestinian flag and anti-war missile imagery,media-library/curated/palestine/img-0111.jpg,1080,1484,media-library/curated/palestine/img-0111.jpg,
img-0113,palestine,documentation-photo,Photographic collage of shrouded body with Palestinian flag colours,media-library/curated/palestine/img-0113.jpg,1080,839,media-library/curated/palestine/img-0113.jpg,exact-duplicate-source-files-consolidated
img-0114,palestine,documentation-photo,Mourning photographic collage with Palestinian flag colours,media-library/curated/palestine/img-0114.jpg,1080,1388,media-library/curated/palestine/img-0114.jpg,exact-duplicate-source-files-consolidated
img-0115,palestine,artwork-or-artwork-documentation,Mother and child against Palestinian flag,media-library/curated/palestine/img-0115.jpg,1080,701,media-library/curated/palestine/img-0115.jpg,exact-duplicate-source-files-consolidated
img-0239,palestine,artwork-or-artwork-documentation,Poem attributed on artwork to Taufiq Ziad; retain attribution,media-library/curated/palestine/img-0239.jpg,1384,1730,media-library/curated/palestine/img-0239.jpg,
img-0244,palestine,poster-or-publication-graphic,Palestine solidarity poster with flag and text,media-library/curated/palestine/img-0244.jpg,3314,4096,media-library/curated/palestine/img-0244.jpg,
img-0271,palestine,artwork-or-artwork-documentation,All Eyes on Rafah artwork,media-library/curated/palestine/img-0271.jpg,1440,1090,media-library/curated/palestine/img-0271.jpg,
img-0300,palestine,publication-cover,Figure carrying belongings and smoke beside 500 Miles marker; used on Palestine book cover,media-library/curated/palestine/img-0300.jpg,1080,1539,media-library/curated/palestine/img-0300.jpg,
img-0341,palestine,artwork-or-artwork-documentation,Installation detail map of Mediterranean and Red Sea; context linked to images 353-359,media-library/curated/palestine/img-0341.jpg,6120,8160,media-library/curated/palestine/img-0341.jpg,exact-duplicate-source-files-consolidated
img-0351,palestine,artwork-or-artwork-documentation,Installation view with map seascapes textiles and drum; related Palestine installation,media-library/curated/palestine/img-0351.jpg,4080,3060,media-library/curated/palestine/img-0351.jpg,exact-duplicate-source-files-consolidated
img-0352,palestine,artwork-or-artwork-documentation,Alternate full installation view,media-library/curated/palestine/img-0352.jpg,4080,3060,media-library/curated/palestine/img-0352.jpg,exact-duplicate-source-files-consolidated
img-0353,palestine,artwork-or-artwork-documentation,Map detail stamped The Genocide the World Saw Live,media-library/curated/palestine/img-0353.jpg,3060,4080,media-library/curated/palestine/img-0353.jpg,exact-duplicate-source-files-consolidated
img-0354,palestine,artwork-or-artwork-documentation,Map and stamped text installation detail,media-library/curated/palestine/img-0354.jpg,6120,8160,media-library/curated/palestine/img-0354.jpg,exact-duplicate-source-files-consolidated
img-0355,palestine,artwork-or-artwork-documentation,Map and seascapes installation view,media-library/curated/palestine/img-0355.jpg,4080,3060,media-library/curated/palestine/img-0355.jpg,exact-duplicate-source-files-consolidated
img-0356,palestine,artwork-or-artwork-documentation,Text lines and river map installation detail,media-library/curated/palestine/img-0356.jpg,4080,3060,media-library/curated/palestine/img-0356.jpg,exact-duplicate-source-files-consolidated
img-0357,palestine,artwork-or-artwork-documentation,Stamped text and seascape installation detail,media-library/curated/palestine/img-0357.jpg,4080,3060,media-library/curated/palestine/img-0357.jpg,exact-duplicate-source-files-consolidated
img-0358,palestine,artwork-or-artwork-documentation,Stamped text lines on gallery wall,media-library/curated/palestine/img-0358.jpg,3264,2448,media-library/curated/palestine/img-0358.jpg,exact-duplicate-source-files-consolidated
img-0359,palestine,artwork-or-artwork-documentation,Close-up The Genocide the World Saw Live,media-library/curated/palestine/img-0359.jpg,4080,3060,media-library/curated/palestine/img-0359.jpg,exact-duplicate-source-files-consolidated
img-0360,palestine,artwork-or-artwork-documentation,Seascape panel details in installation,media-library/curated/palestine/img-0360.jpg,4080,3060,media-library/curated/palestine/img-0360.jpg,exact-duplicate-source-files-consolidated
img-0361,palestine,artwork-or-artwork-documentation,Palestinian flag and stamped red green cards installation,media-library/curated/palestine/img-0361.jpg,4080,3060,media-library/curated/palestine/img-0361.jpg,exact-duplicate-source-files-consolidated
img-0362,palestine,artwork-or-artwork-documentation,Card stamped The Genocide the World Saw Live beside Palestinian flag,media-library/curated/palestine/img-0362.jpg,4080,3060,media-library/curated/palestine/img-0362.jpg,exact-duplicate-source-files-consolidated
img-0363,palestine,artwork-or-artwork-documentation,Complete map with stamped text,media-library/curated/palestine/img-0363.jpg,3763,7349,media-library/curated/palestine/img-0363.jpg,exact-duplicate-source-files-consolidated
