id	category	observation
1	political	Rural healthcare consultation
2	political	Women and children facing a crowd across a divide
3	political	Child watching nationalist imagery on television
4	others	Tree roots and community
5	political	Reproductive health illustration in red forest
6	political	Woman resting in rural room; health series
7	political	Bilkis Bano and scales of justice
8	political	Children and blindfolded figures
9	political	Agricultural labourers; portfolio page 31
10	others	Seated grieving figure under bare tree; context uncertain
11	political	Keezhvenmani protest illustration
12	others	Classroom and language
13	political	Beedi workers and chest X-ray
14	political	Farmers wheat and locust
15	political	Women and broken thread; very low resolution
16	political	Shrouds and cremation
17	political	Farmers barricades and kites
18	political	Pregnant woman in rural room
19	political	Lower resolution version of image 18
20	others	Mother child and language tree
21	political	Rural health and water pump
22	political	Women and medical symbolism
23	others	Figure by moonlit sea
24	others	Sea and crescent moon
25	others	Group beside sea
26	others	Purple sea and moon
27	political	Bound hands flowers and birds; solidarity
28	others	Women in boat
29	political	Crowded boat and urban infrastructure; displacement
30	others	Woman and child portrait
31	others	Bee and red flower
32	others	Palash and moon
33	others	Bees and palash flowers
34	political	Cremation on riverfront
35	political	Moon landscape with Hindi poem about massacre; preserve text
36	political	Older woman tree and wind turbines
37	political	Injured woman and hands; violence context unconfirmed
38	palestine	Palestinian flag wheat field and medical bag
39	palestine	Palestinian flag and flowers over chair
40	political	Red flag procession and tree roots
41	political	Dam and displacement
42	others	Moon over sea
43	others	Children flowers and mounds; context uncertain
44	others	Woman in shadowed doorway
45	others	Bags and clothes in room
46	political	Large fish swallowing small fish; allegory
47	political	Bound bleeding seated figure
48	political	ASHA workers union march
49	others	Community drummer with yellow headwrap
50	others	Two people in mustard field trailing fabric
51	others	Mustard field and moon
52	others	Shrine and community musicians
53	others	Drummers and horn player
54	others	Yellow fields and river
55	others	Women dancing in circle
56	political	Winding procession with red flags
57	political	Photograph of hand painting Bengali poster
58	political	Flowering tree shrine and red flag gathering
59	political	Woman stopping excavator arm
60	political	Alternate version of image 59
61	political	Giant foot pressing excavator
62	political	Detail of crowd on bulldozer; full work image 64
63	political	Wider detail of image 64
64	political	Bulldozer crowds and red flags
65	political	Textile and labouring hands
66	palestine	Mourning mother and child over Palestinian flag
67	political	Bloodied hand and red moon
68	political	Campaign conversation photograph
69	political	Campaign conversation photograph
70	political	Campaign photograph with party signage
71	political	Gathering with red flags
72	political	Campaign photograph; garlanded speaker and elder
73	political	Campaign greeting photograph
74	political	Street procession with red party flags
75	political	Campaign conversation photograph
76	political	Night speech with red flag
77	political	Photograph beside election wall painting
78	political	Photograph painting wall mural
79	others	Portrait through vehicle sunroof; event context unconfirmed
80	political	Photographed book page Nationalism in India; reference material not original artwork
81	others	Women with crescent and bird
82	political	Anti-caste performers with Ambedkar banner
83	others	Women embroidering beside water
84	political	Surveillance notice and huddled figures
85	political	Surveillance notice moon and figures
86	political	Surveillance notice and reclining figure
87	political	People carrying stacked bodies
88	political	Sketch of mourners and row of shrouds; retain handwritten text
89	palestine	Making Death and Life in Palestine book cover; preserve publisher and editor credits
90	others	Sultana's Sisters book cover; preserve credits
91	others	Bengali publication cover with walking figures
92	political	Crisis and Predation book cover; low resolution
93	others	Bengali wraparound book cover with forest and figures
94	others	Bengali Eid magazine cover with musicians
95	others	Kannada wraparound book cover; preserve author and publisher details
96	others	Nowroj magazine cover with trees and procession
97	political	Asabhya Ghoshit Mahua book cover; preserve author credit
98	political	Anti-caste performance with Ambedkar portrait
99	political	Performer addressing audience with blue flags
100	political	Lower resolution version of anti-caste performers image 82
101	political	Harmonium player beneath Ambedkar portraits
102	others	Workshop photograph with children
103	others	Exhibition visitor photograph
104	others	Exhibition visitors and framed art
105	others	Red flower and striped sea
106	others	Bare branching tree reflected in water
107	others	Figure resting against tree; drawing
108	others	Trees with Bengali verse; preserve text
109	others	Two figures beside shore and lone tree
110	others	Seated figure with flowing hair beside water
111	palestine	Palestinian flag and anti-war missile imagery
112	others	Mother and child under crescent; context uncertain
113	palestine	Photographic collage of shrouded body with Palestinian flag colours
114	palestine	Mourning photographic collage with Palestinian flag colours
115	palestine	Mother and child against Palestinian flag
116	others	Woman holding bare tree beneath crescent
117	political	Protest photograph with placards and Indian flag
118	political	Illustration of injured person surrounded by uniformed legs
119	political	Figures carrying bodies through landscape; preserve handwritten text
120	others	River valley and crescent moon
121	others	River valley and sun
122	others	Valley with tiny figures and sun
123	others	River valley under cloudy moonlit sky
124	political	Procession of tiny figures across valley
125	political	Procession across valley with construction arm
126	political	Classroom caste violence illustration; PARI credit retained
127	political	Bulldozer and vulnerable family
128	political	Excavators tearing red tree; PARI credit retained
129	political	Figure swallowing flame with water below
130	political	Workers raising red flag
131	political	March around bare tree with red flags
132	political	Crowd carrying sickles against red sky
133	others	Gathering under crescent; specific context unconfirmed
134	political	Woman carrying hammer and sickle flag
135	political	The Flag of the Morning Sky; preserve lettering
136	political	Inquilab artwork with women flowers and bird
137	political	Campaign march photograph with banner
138	political	Campaign march photograph with banner
139	political	Embroidered women and CPIML flag; authorship unconfirmed
140	political	Night campaign speech photograph
141	political	Group selfie during campaign
142	others	Portrait of older man wearing hat; identity unconfirmed
143	political	Campaign greeting photograph
144	political	Alternate night campaign speech photograph
145	political	Wide crop of anti-caste performers artwork
146	political	Rural healthcare journey by boat and bridge
147	others	IIT Gandhinagar presentation photograph; source filename context
148	others	IIT Gandhinagar exhibition wall photograph
149	others	Exhibition wall detail and PARI label
150	others	Presentation photograph
151	political	Outdoor speech beside protest banner
152	political	Photograph beside campaign wall lettering
153	political	Campaign wall photograph
154	political	Sketchbook portrait with party scarf; authorship unconfirmed
155	political	Election wall mural photograph
156	political	Labani Jangi campaign poster; retain complete layout
157	political	Jalangi river campaign poster; retain complete layout
