id,category,kind,observation,file,width,height,source_files,flags
img-0004,others,artwork-or-artwork-documentation,Tree roots and community,media-library/curated/others/img-0004.jpg,1400,984,media-library/curated/others/img-0004.jpg,
img-0010,others,artwork-or-artwork-documentation,Seated grieving figure under bare tree; context uncertain,media-library/curated/others/img-0010.jpg,1400,978,media-library/curated/others/img-0010.jpg,context-or-credit-needs-confirmation
img-0012,others,artwork-or-artwork-documentation,Classroom and language,media-library/curated/others/img-0012.jpg,1400,1009,media-library/curated/others/img-0012.jpg,
img-0020,others,artwork-or-artwork-documentation,Mother child and language tree,media-library/curated/others/img-0020.jpg,700,494,media-library/curated/others/img-0020.jpg,small-source-review-display-size
img-0023,others,artwork-or-artwork-documentation,Figure by moonlit sea,media-library/curated/others/img-0023.png,2140,1444,media-library/curated/others/img-0023.png,
img-0024,others,artwork-or-artwork-documentation,Sea and crescent moon,media-library/curated/others/img-0024.png,2158,1572,media-library/curated/others/img-0024.png,
img-0025,others,artwork-or-artwork-documentation,Group beside sea,media-library/curated/others/img-0025.png,2160,1468,media-library/curated/others/img-0025.png,
img-0026,others,artwork-or-artwork-documentation,Purple sea and moon,media-library/curated/others/img-0026.png,2160,1486,media-library/curated/others/img-0026.png,
img-0028,others,artwork-or-artwork-documentation,Women in boat,media-library/curated/others/img-0028.png,2160,1494,media-library/curated/others/img-0028.png,
img-0030,others,artwork-or-artwork-documentation,Woman and child portrait,media-library/curated/others/img-0030.jpg,4909,5092,media-library/curated/others/img-0030.jpg,
img-0031,others,artwork-or-artwork-documentation,Bee and red flower,media-library/curated/others/img-0031.jpg,2596,1752,media-library/curated/others/img-0031.jpg,exact-duplicate-source-files-consolidated
img-0032,others,artwork-or-artwork-documentation,Palash and moon,media-library/curated/others/img-0032.jpg,4279,3438,media-library/curated/others/img-0032.jpg,exact-duplicate-source-files-consolidated
img-0033,others,artwork-or-artwork-documentation,Bees and palash flowers,media-library/curated/others/img-0033.jpg,4517,2784,media-library/curated/others/img-0033.jpg,exact-duplicate-source-files-consolidated
img-0042,others,artwork-or-artwork-documentation,Moon over sea,media-library/curated/others/img-0042.jpg,1440,1489,media-library/curated/others/img-0042.jpg,exact-duplicate-source-files-consolidated
img-0043,others,artwork-or-artwork-documentation,Children flowers and mounds; context uncertain,media-library/curated/others/img-0043.jpg,1061,1395,media-library/curated/others/img-0043.jpg,context-or-credit-needs-confirmation | exact-duplicate-source-files-consolidated
img-0044,others,artwork-or-artwork-documentation,Woman in shadowed doorway,media-library/curated/others/img-0044.jpg,1080,881,media-library/curated/others/img-0044.jpg,exact-duplicate-source-files-consolidated
img-0045,others,artwork-or-artwork-documentation,Bags and clothes in room,media-library/curated/others/img-0045.jpg,5773,4330,media-library/curated/others/img-0045.jpg,exact-duplicate-source-files-consolidated
img-0049,others,artwork-or-artwork-documentation,Community drummer with yellow headwrap,media-library/curated/others/img-0049.jpg,1991,2847,media-library/curated/others/img-0049.jpg,exact-duplicate-source-files-consolidated
img-0050,others,artwork-or-artwork-documentation,Two people in mustard field trailing fabric,media-library/curated/others/img-0050.jpg,6477,3859,media-library/curated/others/img-0050.jpg,exact-duplicate-source-files-consolidated
img-0051,others,artwork-or-artwork-documentation,Mustard field and moon,media-library/curated/others/img-0051.jpg,6191,4038,media-library/curated/others/img-0051.jpg,exact-duplicate-source-files-consolidated
img-0052,others,artwork-or-artwork-documentation,Shrine and community musicians,media-library/curated/others/img-0052.jpg,4169,5996,media-library/curated/others/img-0052.jpg,exact-duplicate-source-files-consolidated
img-0053,others,artwork-or-artwork-documentation,Drummers and horn player,media-library/curated/others/img-0053.jpg,5715,4374,media-library/curated/others/img-0053.jpg,exact-duplicate-source-files-consolidated
img-0054,others,artwork-or-artwork-documentation,Yellow fields and river,media-library/curated/others/img-0054.jpg,6181,4044,media-library/curated/others/img-0054.jpg,exact-duplicate-source-files-consolidated
img-0055,others,artwork-or-artwork-documentation,Women dancing in circle,media-library/curated/others/img-0055.jpg,6076,4114,media-library/curated/others/img-0055.jpg,exact-duplicate-source-files-consolidated
img-0079,others,artwork-or-artwork-documentation,Portrait through vehicle sunroof; event context unconfirmed,media-library/curated/others/img-0079.jpg,3000,2000,media-library/curated/others/img-0079.jpg,context-or-credit-needs-confirmation
img-0081,others,artwork-or-artwork-documentation,Women with crescent and bird,media-library/curated/others/img-0081.jpg,1400,1026,media-library/curated/others/img-0081.jpg,
img-0083,others,artwork-or-artwork-documentation,Women embroidering beside water,media-library/curated/others/img-0083.jpg,1080,517,media-library/curated/others/img-0083.jpg,small-source-review-display-size
img-0090,others,publication-cover,Sultana's Sisters book cover; preserve credits,media-library/curated/others/img-0090.jpg,853,1280,media-library/curated/others/img-0090.jpg,
img-0091,others,publication-cover,Bengali publication cover with walking figures,media-library/curated/others/img-0091.jpg,1080,1719,media-library/curated/others/img-0091.jpg,
img-0093,others,publication-cover,Bengali wraparound book cover with forest and figures,media-library/curated/others/img-0093.jpg,1000,635,media-library/curated/others/img-0093.jpg,
img-0094,others,publication-cover,Bengali Eid magazine cover with musicians,media-library/curated/others/img-0094.jpg,1071,1386,media-library/curated/others/img-0094.jpg,
img-0095,others,publication-cover,Kannada wraparound book cover; preserve author and publisher details,media-library/curated/others/img-0095.jpg,1080,790,media-library/curated/others/img-0095.jpg,
img-0096,others,publication-cover,Nowroj magazine cover with trees and procession,media-library/curated/others/img-0096.jpg,617,960,media-library/curated/others/img-0096.jpg,
img-0102,others,documentation-photo,Workshop photograph with children,media-library/curated/others/img-0102.jpg,1080,598,media-library/curated/others/img-0102.jpg,small-source-review-display-size
img-0103,others,documentation-photo,Exhibition visitor photograph,media-library/curated/others/img-0103.jpg,1080,810,media-library/curated/others/img-0103.jpg,
img-0104,others,artwork-or-artwork-documentation,Exhibition visitors and framed art,media-library/curated/others/img-0104.jpg,1080,810,media-library/curated/others/img-0104.jpg,
img-0105,others,artwork-or-artwork-documentation,Red flower and striped sea,media-library/curated/others/img-0105.jpg,1080,793,media-library/curated/others/img-0105.jpg,
img-0106,others,artwork-or-artwork-documentation,Bare branching tree reflected in water,media-library/curated/others/img-0106.jpg,1080,854,media-library/curated/others/img-0106.jpg,
img-0107,others,artwork-or-artwork-documentation,Figure resting against tree; drawing,media-library/curated/others/img-0107.jpg,1079,2048,media-library/curated/others/img-0107.jpg,
img-0108,others,artwork-or-artwork-documentation,Trees with Bengali verse; preserve text,media-library/curated/others/img-0108.jpg,1080,663,media-library/curated/others/img-0108.jpg,
img-0109,others,artwork-or-artwork-documentation,Two figures beside shore and lone tree,media-library/curated/others/img-0109.jpg,1080,826,media-library/curated/others/img-0109.jpg,
img-0110,others,artwork-or-artwork-documentation,Seated figure with flowing hair beside water,media-library/curated/others/img-0110.jpg,1080,1448,media-library/curated/others/img-0110.jpg,
img-0112,others,artwork-or-artwork-documentation,Mother and child under crescent; context uncertain,media-library/curated/others/img-0112.jpg,1077,924,media-library/curated/others/img-0112.jpg,context-or-credit-needs-confirmation | exact-duplicate-source-files-consolidated
img-0116,others,artwork-or-artwork-documentation,Woman holding bare tree beneath crescent,media-library/curated/others/img-0116.jpg,1080,1042,media-library/curated/others/img-0116.jpg,exact-duplicate-source-files-consolidated
img-0120,others,artwork-or-artwork-documentation,River valley and crescent moon,media-library/curated/others/img-0120.jpg,2048,1444,media-library/curated/others/img-0120.jpg,exact-duplicate-source-files-consolidated
img-0121,others,artwork-or-artwork-documentation,River valley and sun,media-library/curated/others/img-0121.jpg,2048,1419,media-library/curated/others/img-0121.jpg,exact-duplicate-source-files-consolidated
img-0122,others,artwork-or-artwork-documentation,Valley with tiny figures and sun,media-library/curated/others/img-0122.jpg,2048,1398,media-library/curated/others/img-0122.jpg,exact-duplicate-source-files-consolidated
img-0123,others,artwork-or-artwork-documentation,River valley under cloudy moonlit sky,media-library/curated/others/img-0123.jpg,2048,1426,media-library/curated/others/img-0123.jpg,exact-duplicate-source-files-consolidated
img-0133,others,artwork-or-artwork-documentation,Gathering under crescent; specific context unconfirmed,media-library/curated/others/img-0133.jpg,2048,1275,media-library/curated/others/img-0133.jpg,context-or-credit-needs-confirmation | exact-duplicate-source-files-consolidated
