id,category,kind,observation,file,width,height,source_files,flags
img-0001,political,artwork-or-artwork-documentation,Rural healthcare consultation,media-library/curated/political/img-0001.jpg,1400,908,media-library/curated/political/img-0001.jpg,
img-0002,political,artwork-or-artwork-documentation,Women and children facing a crowd across a divide,media-library/curated/political/img-0002.jpg,1400,924,media-library/curated/political/img-0002.jpg,
img-0003,political,artwork-or-artwork-documentation,Child watching nationalist imagery on television,media-library/curated/political/img-0003.jpg,1400,871,media-library/curated/political/img-0003.jpg,
img-0005,political,artwork-or-artwork-documentation,Reproductive health illustration in red forest,media-library/curated/political/img-0005.jpg,1400,956,media-library/curated/political/img-0005.jpg,
img-0006,political,artwork-or-artwork-documentation,Woman resting in rural room; health series,media-library/curated/political/img-0006.jpg,1400,937,media-library/curated/political/img-0006.jpg,
img-0007,political,artwork-or-artwork-documentation,Bilkis Bano and scales of justice,media-library/curated/political/img-0007.jpg,1400,851,media-library/curated/political/img-0007.jpg,
img-0008,political,artwork-or-artwork-documentation,Children and blindfolded figures,media-library/curated/political/img-0008.jpg,1400,951,media-library/curated/political/img-0008.jpg,
img-0009,political,artwork-or-artwork-documentation,Agricultural labourers; portfolio page 31,media-library/curated/political/img-0009.jpg,1400,928,media-library/curated/political/img-0009.jpg,
img-0011,political,artwork-or-artwork-documentation,Keezhvenmani protest illustration,media-library/curated/political/img-0011.jpg,1400,905,media-library/curated/political/img-0011.jpg,
img-0013,political,artwork-or-artwork-documentation,Beedi workers and chest X-ray,media-library/curated/political/img-0013.jpg,1400,949,media-library/curated/political/img-0013.jpg,
img-0014,political,artwork-or-artwork-documentation,Farmers wheat and locust,media-library/curated/political/img-0014.jpg,1400,945,media-library/curated/political/img-0014.jpg,
img-0015,political,artwork-or-artwork-documentation,Women and broken thread; very low resolution,media-library/curated/political/img-0015.jpg,270,186,media-library/curated/political/img-0015.jpg,small-source-review-display-size
img-0016,political,artwork-or-artwork-documentation,Shrouds and cremation,media-library/curated/political/img-0016.jpg,1400,936,media-library/curated/political/img-0016.jpg,
img-0017,political,artwork-or-artwork-documentation,Farmers barricades and kites,media-library/curated/political/img-0017.jpg,1400,961,media-library/curated/political/img-0017.jpg,
img-0018,political,artwork-or-artwork-documentation,Pregnant woman in rural room,media-library/curated/political/img-0018.jpg,1400,947,media-library/curated/political/img-0018.jpg,
img-0019,political,artwork-or-artwork-documentation,Lower resolution version of image 18,media-library/curated/political/img-0019.jpg,270,182,media-library/curated/political/img-0019.jpg,small-source-review-display-size
img-0021,political,artwork-or-artwork-documentation,Rural health and water pump,media-library/curated/political/img-0021.jpg,1400,948,media-library/curated/political/img-0021.jpg,
img-0022,political,artwork-or-artwork-documentation,Women and medical symbolism,media-library/curated/political/img-0022.jpg,1400,925,media-library/curated/political/img-0022.jpg,
img-0027,political,artwork-or-artwork-documentation,Bound hands flowers and birds; solidarity,media-library/curated/political/img-0027.png,2160,1582,media-library/curated/political/img-0027.png,
img-0029,political,artwork-or-artwork-documentation,Crowded boat and urban infrastructure; displacement,media-library/curated/political/img-0029.jpg,5987,4175,media-library/curated/political/img-0029.jpg,
img-0034,political,artwork-or-artwork-documentation,Cremation on riverfront,media-library/curated/political/img-0034.jpg,5963,4191,media-library/curated/political/img-0034.jpg,exact-duplicate-source-files-consolidated
img-0035,political,artwork-or-artwork-documentation,Moon landscape with Hindi poem about massacre; preserve text,media-library/curated/political/img-0035.jpg,1080,1006,media-library/curated/political/img-0035.jpg,exact-duplicate-source-files-consolidated
img-0036,political,artwork-or-artwork-documentation,Older woman tree and wind turbines,media-library/curated/political/img-0036.jpg,4238,5898,media-library/curated/political/img-0036.jpg,exact-duplicate-source-files-consolidated
img-0037,political,artwork-or-artwork-documentation,Injured woman and hands; violence context unconfirmed,media-library/curated/political/img-0037.jpg,2643,3277,media-library/curated/political/img-0037.jpg,context-or-credit-needs-confirmation | exact-duplicate-source-files-consolidated
img-0040,political,artwork-or-artwork-documentation,Red flag procession and tree roots,media-library/curated/political/img-0040.jpg,3732,2489,media-library/curated/political/img-0040.jpg,exact-duplicate-source-files-consolidated
img-0041,political,artwork-or-artwork-documentation,Dam and displacement,media-library/curated/political/img-0041.jpg,1862,1322,media-library/curated/political/img-0041.jpg,exact-duplicate-source-files-consolidated
img-0046,political,artwork-or-artwork-documentation,Large fish swallowing small fish; allegory,media-library/curated/political/img-0046.jpg,3211,2138,media-library/curated/political/img-0046.jpg,exact-duplicate-source-files-consolidated
img-0047,political,artwork-or-artwork-documentation,Bound bleeding seated figure,media-library/curated/political/img-0047.jpg,3140,2087,media-library/curated/political/img-0047.jpg,exact-duplicate-source-files-consolidated
img-0048,political,artwork-or-artwork-documentation,ASHA workers union march,media-library/curated/political/img-0048.jpg,4101,6094,media-library/curated/political/img-0048.jpg,exact-duplicate-source-files-consolidated
img-0056,political,artwork-or-artwork-documentation,Winding procession with red flags,media-library/curated/political/img-0056.jpg,2224,1462,media-library/curated/political/img-0056.jpg,
img-0057,political,documentation-photo,Photograph of hand painting Bengali poster,media-library/curated/political/img-0057.jpg,4080,3060,media-library/curated/political/img-0057.jpg,
img-0058,political,artwork-or-artwork-documentation,Flowering tree shrine and red flag gathering,media-library/curated/political/img-0058.jpg,6103,4096,media-library/curated/political/img-0058.jpg,
img-0059,political,artwork-or-artwork-documentation,Woman stopping excavator arm,media-library/curated/political/img-0059.jpeg,1075,777,media-library/curated/political/img-0059.jpeg,
img-0060,political,artwork-or-artwork-documentation,Alternate version of image 59,media-library/curated/political/img-0060.jpeg,1080,811,media-library/curated/political/img-0060.jpeg,
img-0061,political,artwork-or-artwork-documentation,Giant foot pressing excavator,media-library/curated/political/img-0061.jpeg,5370,3572,media-library/curated/political/img-0061.jpeg,
img-0062,political,artwork-or-artwork-documentation,Detail of crowd on bulldozer; full work image 64,media-library/curated/political/img-0062.jpeg,2808,1733,media-library/curated/political/img-0062.jpeg,
img-0063,political,artwork-or-artwork-documentation,Wider detail of image 64,media-library/curated/political/img-0063.jpeg,4505,2416,media-library/curated/political/img-0063.jpeg,exact-duplicate-source-files-consolidated
img-0064,political,artwork-or-artwork-documentation,Bulldozer crowds and red flags,media-library/curated/political/img-0064.jpeg,5303,3482,media-library/curated/political/img-0064.jpeg,
img-0065,political,artwork-or-artwork-documentation,Textile and labouring hands,media-library/curated/political/img-0065.jpeg,5490,3674,media-library/curated/political/img-0065.jpeg,
img-0067,political,artwork-or-artwork-documentation,Bloodied hand and red moon,media-library/curated/political/img-0067.jpg,2870,3840,media-library/curated/political/img-0067.jpg,exact-duplicate-source-files-consolidated
img-0068,political,documentation-photo,Campaign conversation photograph,media-library/curated/political/img-0068.jpg,4032,1860,media-library/curated/political/img-0068.jpg,
img-0069,political,documentation-photo,Campaign conversation photograph,media-library/curated/political/img-0069.jpg,4032,1860,media-library/curated/political/img-0069.jpg,
img-0070,political,documentation-photo,Campaign photograph with party signage,media-library/curated/political/img-0070.jpg,4000,3000,media-library/curated/political/img-0070.jpg,
img-0071,political,artwork-or-artwork-documentation,Gathering with red flags,media-library/curated/political/img-0071.jpg,4032,1860,media-library/curated/political/img-0071.jpg,
img-0072,political,documentation-photo,Campaign photograph; garlanded speaker and elder,media-library/curated/political/img-0072.jpg,1860,4032,media-library/curated/political/img-0072.jpg,
img-0073,political,documentation-photo,Campaign greeting photograph,media-library/curated/political/img-0073.jpg,3000,2000,media-library/curated/political/img-0073.jpg,
img-0074,political,artwork-or-artwork-documentation,Street procession with red party flags,media-library/curated/political/img-0074.jpg,3000,2000,media-library/curated/political/img-0074.jpg,
img-0075,political,documentation-photo,Campaign conversation photograph,media-library/curated/political/img-0075.jpg,3000,2000,media-library/curated/political/img-0075.jpg,
img-0076,political,artwork-or-artwork-documentation,Night speech with red flag,media-library/curated/political/img-0076.jpg,2000,3000,media-library/curated/political/img-0076.jpg,
img-0077,political,documentation-photo,Photograph beside election wall painting,media-library/curated/political/img-0077.jpg,3000,2000,media-library/curated/political/img-0077.jpg,
img-0078,political,documentation-photo,Photograph painting wall mural,media-library/curated/political/img-0078.jpg,3000,2000,media-library/curated/political/img-0078.jpg,
img-0080,political,documentation-photo,Photographed book page Nationalism in India; reference material not original artwork,media-library/curated/political/img-0080.jpg,3060,4080,media-library/curated/political/img-0080.jpg,reference-only-not-artwork | exact-duplicate-source-files-consolidated
img-0082,political,artwork-or-artwork-documentation,Anti-caste performers with Ambedkar banner,media-library/curated/political/img-0082.jpg,3883,2668,media-library/curated/political/img-0082.jpg,exact-duplicate-source-files-consolidated
img-0084,political,artwork-or-artwork-documentation,Surveillance notice and huddled figures,media-library/curated/political/img-0084.jpg,958,708,media-library/curated/political/img-0084.jpg,
img-0085,political,artwork-or-artwork-documentation,Surveillance notice moon and figures,media-library/curated/political/img-0085.jpg,1080,753,media-library/curated/political/img-0085.jpg,
img-0086,political,artwork-or-artwork-documentation,Surveillance notice and reclining figure,media-library/curated/political/img-0086.jpg,1080,558,media-library/curated/political/img-0086.jpg,small-source-review-display-size
img-0087,political,artwork-or-artwork-documentation,People carrying stacked bodies,media-library/curated/political/img-0087.jpg,840,1280,media-library/curated/political/img-0087.jpg,
img-0088,political,artwork-or-artwork-documentation,Sketch of mourners and row of shrouds; retain handwritten text,media-library/curated/political/img-0088.jpg,1080,866,media-library/curated/political/img-0088.jpg,
img-0092,political,publication-cover,Crisis and Predation book cover; low resolution,media-library/curated/political/img-0092.jpg,300,439,media-library/curated/political/img-0092.jpg,small-source-review-display-size
img-0097,political,publication-cover,Asabhya Ghoshit Mahua book cover; preserve author credit,media-library/curated/political/img-0097.jpg,558,818,media-library/curated/political/img-0097.jpg,small-source-review-display-size
img-0098,political,artwork-or-artwork-documentation,Anti-caste performance with Ambedkar portrait,media-library/curated/political/img-0098.jpg,1080,768,media-library/curated/political/img-0098.jpg,
img-0099,political,artwork-or-artwork-documentation,Performer addressing audience with blue flags,media-library/curated/political/img-0099.jpg,1080,745,media-library/curated/political/img-0099.jpg,
img-0100,political,artwork-or-artwork-documentation,Lower resolution version of anti-caste performers image 82,media-library/curated/political/img-0100.jpg,1080,741,media-library/curated/political/img-0100.jpg,
img-0101,political,artwork-or-artwork-documentation,Harmonium player beneath Ambedkar portraits,media-library/curated/political/img-0101.jpg,1080,754,media-library/curated/political/img-0101.jpg,
img-0117,political,documentation-photo,Protest photograph with placards and Indian flag,media-library/curated/political/img-0117.jpg,1080,598,media-library/curated/political/img-0117.jpg,small-source-review-display-size | exact-duplicate-source-files-consolidated
img-0118,political,artwork-or-artwork-documentation,Illustration of injured person surrounded by uniformed legs,media-library/curated/political/img-0118.jpg,1280,856,media-library/curated/political/img-0118.jpg,exact-duplicate-source-files-consolidated
img-0119,political,artwork-or-artwork-documentation,Figures carrying bodies through landscape; preserve handwritten text,media-library/curated/political/img-0119.jpg,2048,1322,media-library/curated/political/img-0119.jpg,exact-duplicate-source-files-consolidated
img-0124,political,artwork-or-artwork-documentation,Procession of tiny figures across valley,media-library/curated/political/img-0124.jpg,2048,1400,media-library/curated/political/img-0124.jpg,exact-duplicate-source-files-consolidated
img-0125,political,artwork-or-artwork-documentation,Procession across valley with construction arm,media-library/curated/political/img-0125.jpg,2048,1456,media-library/curated/political/img-0125.jpg,exact-duplicate-source-files-consolidated
img-0126,political,artwork-or-artwork-documentation,Classroom caste violence illustration; PARI credit retained,media-library/curated/political/img-0126.jpg,2048,1531,media-library/curated/political/img-0126.jpg,exact-duplicate-source-files-consolidated
img-0127,political,artwork-or-artwork-documentation,Bulldozer and vulnerable family,media-library/curated/political/img-0127.jpg,1400,1043,media-library/curated/political/img-0127.jpg,exact-duplicate-source-files-consolidated
img-0128,political,artwork-or-artwork-documentation,Excavators tearing red tree; PARI credit retained,media-library/curated/political/img-0128.jpg,2048,1461,media-library/curated/political/img-0128.jpg,exact-duplicate-source-files-consolidated
img-0129,political,artwork-or-artwork-documentation,Figure swallowing flame with water below,media-library/curated/political/img-0129.jpg,2048,1272,media-library/curated/political/img-0129.jpg,exact-duplicate-source-files-consolidated
img-0130,political,artwork-or-artwork-documentation,Workers raising red flag,media-library/curated/political/img-0130.jpg,2048,1452,media-library/curated/political/img-0130.jpg,exact-duplicate-source-files-consolidated
img-0131,political,artwork-or-artwork-documentation,March around bare tree with red flags,media-library/curated/political/img-0131.jpg,2048,1366,media-library/curated/political/img-0131.jpg,exact-duplicate-source-files-consolidated
img-0132,political,artwork-or-artwork-documentation,Crowd carrying sickles against red sky,media-library/curated/political/img-0132.jpg,2048,908,media-library/curated/political/img-0132.jpg,exact-duplicate-source-files-consolidated
img-0134,political,artwork-or-artwork-documentation,Woman carrying hammer and sickle flag,media-library/curated/political/img-0134.jpg,2048,2048,media-library/curated/political/img-0134.jpg,exact-duplicate-source-files-consolidated
img-0135,political,artwork-or-artwork-documentation,The Flag of the Morning Sky; preserve lettering,media-library/curated/political/img-0135.jpg,2048,1529,media-library/curated/political/img-0135.jpg,exact-duplicate-source-files-consolidated
img-0136,political,artwork-or-artwork-documentation,Inquilab artwork with women flowers and bird,media-library/curated/political/img-0136.jpg,1503,2048,media-library/curated/political/img-0136.jpg,exact-duplicate-source-files-consolidated
img-0137,political,documentation-photo,Campaign march photograph with banner,media-library/curated/political/img-0137.jpg,1818,945,media-library/curated/political/img-0137.jpg,
img-0138,political,documentation-photo,Campaign march photograph with banner,media-library/curated/political/img-0138.jpg,1599,899,media-library/curated/political/img-0138.jpg,
img-0139,political,artwork-or-artwork-documentation,Embroidered women and CPIML flag; authorship unconfirmed,media-library/curated/political/img-0139.jpg,1024,1536,media-library/curated/political/img-0139.jpg,context-or-credit-needs-confirmation | artist-attribution-unconfirmed
img-0140,political,documentation-photo,Night campaign speech photograph,media-library/curated/political/img-0140.jpg,716,1260,media-library/curated/political/img-0140.jpg,
img-0141,political,documentation-photo,Group selfie during campaign,media-library/curated/political/img-0141.jpg,1280,590,media-library/curated/political/img-0141.jpg,small-source-review-display-size
img-0143,political,documentation-photo,Campaign greeting photograph,media-library/curated/political/img-0143.jpg,1440,1080,media-library/curated/political/img-0143.jpg,
img-0144,political,documentation-photo,Alternate night campaign speech photograph,media-library/curated/political/img-0144.jpg,716,1260,media-library/curated/political/img-0144.jpg,
img-0145,political,artwork-or-artwork-documentation,Wide crop of anti-caste performers artwork,media-library/curated/political/img-0145.jpeg,1080,609,media-library/curated/political/img-0145.jpeg,
img-0146,political,artwork-or-artwork-documentation,Rural healthcare journey by boat and bridge,media-library/curated/political/img-0146.jpg,1400,918,media-library/curated/political/img-0146.jpg,
img-0151,political,artwork-or-artwork-documentation,Outdoor speech beside protest banner,media-library/curated/political/img-0151.jpg,3024,4032,media-library/curated/political/img-0151.jpg,
img-0152,political,documentation-photo,Photograph beside campaign wall lettering,media-library/curated/political/img-0152.jpg,1600,1200,media-library/curated/political/img-0152.jpg,
img-0153,political,documentation-photo,Campaign wall photograph,media-library/curated/political/img-0153.jpg,1600,1200,media-library/curated/political/img-0153.jpg,
img-0154,political,artwork-or-artwork-documentation,Sketchbook portrait with party scarf; authorship unconfirmed,media-library/curated/political/img-0154.jpg,1204,1600,media-library/curated/political/img-0154.jpg,context-or-credit-needs-confirmation | artist-attribution-unconfirmed
img-0155,political,documentation-photo,Election wall mural photograph,media-library/curated/political/img-0155.jpg,1600,1200,media-library/curated/political/img-0155.jpg,
img-0156,political,poster-or-publication-graphic,Labani Jangi campaign poster; retain complete layout,media-library/curated/political/img-0156.jpg,1131,1600,media-library/curated/political/img-0156.jpg,
img-0157,political,poster-or-publication-graphic,Jalangi river campaign poster; retain complete layout,media-library/curated/political/img-0157.jpg,1131,1600,media-library/curated/political/img-0157.jpg,
img-0158,political,poster-or-publication-graphic,Anti-fascist poster; authorship unconfirmed,media-library/curated/political/img-0158.jpg,1131,1600,media-library/curated/political/img-0158.jpg,context-or-credit-needs-confirmation | artist-attribution-unconfirmed
img-0159,political,artwork-or-artwork-documentation,Handwritten Bengali campaign placard,media-library/curated/political/img-0159.jpg,876,1280,media-library/curated/political/img-0159.jpg,
img-0160,political,documentation-photo,Campaign wall mural photograph,media-library/curated/political/img-0160.jpg,1600,901,media-library/curated/political/img-0160.jpg,
img-0161,political,artwork-or-artwork-documentation,Wall portrait painting in progress,media-library/curated/political/img-0161.jpg,1600,1197,media-library/curated/political/img-0161.jpg,
img-0162,political,artwork-or-artwork-documentation,Campaign wall art with migrant labour theme,media-library/curated/political/img-0162.jpg,1600,1197,media-library/curated/political/img-0162.jpg,
img-0163,political,artwork-or-artwork-documentation,Group painting campaign wall; camera attribution retained,media-library/curated/political/img-0163.jpg,1600,1371,media-library/curated/political/img-0163.jpg,
img-0164,political,artwork-or-artwork-documentation,Group beside campaign wall,media-library/curated/political/img-0164.jpg,1280,960,media-library/curated/political/img-0164.jpg,
img-0165,political,artwork-or-artwork-documentation,Wide view of campaign wall and trees,media-library/curated/political/img-0165.jpg,1600,1204,media-library/curated/political/img-0165.jpg,
img-0166,political,artwork-or-artwork-documentation,Campaign wall beside street,media-library/curated/political/img-0166.jpg,1204,1600,media-library/curated/political/img-0166.jpg,
img-0167,political,artwork-or-artwork-documentation,Campaign wall lettering and symbol,media-library/curated/political/img-0167.jpg,1600,720,media-library/curated/political/img-0167.jpg,
img-0168,political,documentation-photo,Street photograph with campaign wall,media-library/curated/political/img-0168.jpg,1600,720,media-library/curated/political/img-0168.jpg,
img-0169,political,artwork-or-artwork-documentation,Campaign wall lettering,media-library/curated/political/img-0169.jpg,1600,1200,media-library/curated/political/img-0169.jpg,
img-0170,political,documentation-photo,Campaign conversation with flags,media-library/curated/political/img-0170.jpg,1599,899,media-library/curated/political/img-0170.jpg,
img-0171,political,documentation-photo,Campaign walk with scarves,media-library/curated/political/img-0171.jpg,1280,590,media-library/curated/political/img-0171.jpg,small-source-review-display-size
img-0172,political,documentation-photo,Seated greeting with elder during campaign,media-library/curated/political/img-0172.jpg,1280,590,media-library/curated/political/img-0172.jpg,small-source-review-display-size
img-0173,political,artwork-or-artwork-documentation,Wall mural painting in progress,media-library/curated/political/img-0173.jpg,1200,1600,media-library/curated/political/img-0173.jpg,
img-0174,political,artwork-or-artwork-documentation,Wall mural crowd and party symbol,media-library/curated/political/img-0174.jpg,1600,1200,media-library/curated/political/img-0174.jpg,
img-0175,political,artwork-or-artwork-documentation,Wall mural group holding banner,media-library/curated/political/img-0175.jpg,1600,1200,media-library/curated/political/img-0175.jpg,
img-0176,political,artwork-or-artwork-documentation,Wall mural carrying harvested crop,media-library/curated/political/img-0176.jpg,1600,900,media-library/curated/political/img-0176.jpg,
img-0177,political,artwork-or-artwork-documentation,Wide wall mural workers and demand placard,media-library/curated/political/img-0177.jpg,1600,900,media-library/curated/political/img-0177.jpg,
img-0178,political,artwork-or-artwork-documentation,Alternate view of wall mural crowd,media-library/curated/political/img-0178.jpg,1600,900,media-library/curated/political/img-0178.jpg,
img-0180,political,artwork-or-artwork-documentation,Wall mural farmer carrying harvested crop,media-library/curated/political/img-0180.jpg,1600,1200,media-library/curated/political/img-0180.jpg,
img-0181,political,artwork-or-artwork-documentation,Wall mural opposing bulldozer politics,media-library/curated/political/img-0181.jpg,1500,1125,media-library/curated/political/img-0181.jpg,
img-0182,political,artwork-or-artwork-documentation,Wall mural figure pointing and campaign lettering,media-library/curated/political/img-0182.jpg,1500,1125,media-library/curated/political/img-0182.jpg,
